,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7552,322069020,20140619T000000,520000,3,1.75,1940,219527,1,0,0,3,7,1940,0,1991,0,98038,47.4214,-122.02,2060,108900
7553,1310700330,20150507T000000,310000,4,2.25,1780,8820,1,0,0,4,8,1480,300,1966,0,98032,47.3618,-122.289,1780,8625
7554,423059207,20150223T000000,322500,3,2,1190,6445,1,0,0,3,7,1190,0,1996,0,98056,47.5057,-122.172,1920,8195
7555,7205000180,20150417T000000,320000,4,2.25,2000,10374,2,0,1,4,7,2000,0,1967,0,98023,47.3342,-122.34,2170,10374
7556,7852180530,20150403T000000,440000,3,2.5,1390,4997,2,0,0,3,7,1390,0,2004,0,98065,47.5303,-121.855,2340,4125
7557,6021501780,20140818T000000,578000,3,1,1500,4500,1,0,0,3,7,1120,380,1938,0,98117,47.6873,-122.385,1440,4500
7558,8673400061,20141119T000000,382000,2,1.5,1070,877,3,0,0,3,8,1070,0,2005,0,98107,47.6699,-122.393,1320,1193
7559,3905100220,20140528T000000,535000,3,2.5,1720,4006,2,0,0,3,8,1720,0,1994,0,98029,47.569,-122.007,1780,3974
7560,5104540330,20150508T000000,679000,4,2.5,3680,7236,2,0,0,3,10,3680,0,2006,0,98038,47.3543,-122.005,3310,7180
7561,6752300120,20141201T000000,258900,3,2.25,1400,10436,1,0,0,4,7,1040,360,1985,0,98058,47.4261,-122.144,1860,9318
7562,4077800412,20150316T000000,563000,3,1.5,1730,9509,2,0,0,3,8,1270,460,1955,0,98125,47.7067,-122.282,1810,8795
7563,2787250090,20140618T000000,562000,5,3,2795,15101,2,0,0,3,8,2795,0,1996,0,98019,47.7301,-121.972,2750,14567
7564,461002150,20150105T000000,725000,4,1.75,2000,3750,1,0,0,5,8,1120,880,1950,0,98117,47.6816,-122.374,1370,5000
7565,1898310100,20150220T000000,236775,3,2.5,1830,8372,2,0,0,3,8,1830,0,1987,0,98023,47.3116,-122.4,1770,8372
7566,3886902950,20140911T000000,860000,4,3.5,3380,8098,1,0,1,5,9,1690,1690,1952,0,98033,47.6839,-122.19,1890,8400
7567,4427100025,20140509T000000,270000,3,1.5,1500,6337,1,0,0,5,7,1500,0,1953,0,98125,47.7276,-122.312,1420,6337
7568,4038700730,20141230T000000,621000,4,2.75,1950,6930,1,0,2,4,7,1250,700,1960,0,98008,47.616,-122.113,1950,8560
7569,7852011020,20150327T000000,527900,3,2.5,2490,5928,2,0,2,3,8,2490,0,1998,0,98065,47.5385,-121.87,2420,6381
7570,126059018,20150108T000000,395000,4,2.25,1780,10748,2,0,0,4,8,1780,0,1964,0,98072,47.762,-122.11,2070,37680
7571,9407001340,20140522T000000,320000,3,2,1110,10500,1,0,0,5,7,1110,0,1978,0,98045,47.4456,-121.773,1230,10395
7572,2799800750,20150416T000000,300000,4,2.5,2500,4750,2,0,0,3,8,2500,0,2003,0,98042,47.3666,-122.122,2690,4750
7573,192000120,20140520T000000,320000,3,1.75,1480,7225,1,0,0,4,7,1480,0,1965,0,98056,47.513,-122.185,1430,7201
7574,625069064,20150507T000000,625000,3,2.25,2570,47480,1,0,0,3,9,2570,0,1979,0,98053,47.6854,-122.079,2570,106722
7575,2391600330,20150410T000000,505000,2,1,810,5060,1,0,0,3,6,810,0,1941,0,98116,47.5635,-122.394,900,5060
7576,4180400090,20140613T000000,300000,4,2.5,2700,10814,1,0,0,4,8,1560,1140,1966,0,98030,47.369,-122.177,2460,6310
7577,50300220,20150212T000000,363000,4,2.5,2180,9281,2,0,0,3,8,2180,0,2004,0,98042,47.3673,-122.072,2520,9520
7578,4141010110,20140808T000000,1700000,4,3.5,4330,15335,2,0,0,4,11,3230,1100,1988,0,98040,47.5315,-122.231,3840,14311
7579,6641040100,20140515T000000,1146800,4,3.5,4210,10308,2,0,0,3,10,4210,0,2006,0,98008,47.5905,-122.117,3860,10200
7580,7922720040,20150317T000000,680000,4,2.5,2880,9202,1,0,0,3,8,1780,1100,1977,0,98052,47.6658,-122.139,2500,10265
7581,8825900245,20141209T000000,678940,5,2.25,2610,4080,2,0,0,5,7,1750,860,1909,0,98115,47.6757,-122.309,2160,4080
7582,3883100220,20150120T000000,299000,3,1.75,2010,8065,1,0,0,4,7,1090,920,1984,0,98031,47.4171,-122.202,1560,8065
7583,3649100306,20140506T000000,379900,4,1.75,1500,11600,1,0,0,4,7,1000,500,1955,0,98028,47.7373,-122.241,1740,11600
7584,1099600090,20140613T000000,205000,3,1,1290,6566,1,0,0,5,7,1290,0,1976,0,98023,47.3004,-122.377,1690,6860
7585,9828201725,20140520T000000,387500,4,1,1320,4440,1.5,0,0,3,7,1320,0,1929,0,98122,47.6145,-122.295,1260,4440
7586,9352901085,20150204T000000,256000,3,1,1290,4720,1,0,0,3,6,790,500,1948,0,98106,47.5186,-122.358,1110,4720
7587,4104910040,20140701T000000,548000,4,2.5,2440,11005,2,0,0,3,9,2440,0,1994,0,98056,47.5318,-122.176,2590,14754
7588,6147600040,20150224T000000,163000,3,1.75,1290,4811,1,0,0,3,7,1290,0,1996,0,98032,47.3912,-122.234,1310,4811
7589,6371000026,20150122T000000,367500,2,2,1030,600,2,0,0,3,8,680,350,2004,0,98116,47.5788,-122.41,1120,1267
7590,8121100147,20140714T000000,390000,3,2.25,1640,2875,2,0,0,3,6,1240,400,1983,0,98118,47.5686,-122.286,1500,3960
7591,6152900332,20140801T000000,415000,4,2.5,1160,16008,1,0,0,4,7,1160,0,1989,0,98155,47.7643,-122.295,1570,12645
7592,9522600120,20141022T000000,449000,4,2.25,2230,8440,2,0,0,4,8,2230,0,1968,0,98011,47.7558,-122.217,2160,9412
7593,2207200405,20140716T000000,460000,5,2,1910,12264,1,0,0,4,7,1010,900,1963,0,98007,47.601,-122.134,1700,9179
7594,203900690,20141223T000000,395000,4,2,1980,15354,1,0,0,3,7,1980,0,1977,0,98053,47.638,-121.968,1420,12300
