,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_built
0,20141013T000000,221900,3.0,1.0,1180,5650,1.0,0,0,7,1180,0,1955
1,20141209T000000,538000,3.0,2.25,2570,7242,2.0,0,0,7,2170,400,1951
2,20150225T000000,180000,2.0,1.0,770,10000,1.0,0,0,6,770,0,1933
3,20141209T000000,604000,4.0,3.0,1960,5000,1.0,0,0,7,1050,910,1965
4,20150218T000000,510000,3.0,2.0,1680,8080,1.0,0,0,8,1680,0,1987
5,20140512T000000,1225000,4.0,4.5,5420,101930,1.0,0,0,11,3890,1530,2001
6,20140627T000000,257500,3.0,2.25,1715,6819,2.0,0,0,7,1715,0,1995
7,20150115T000000,291850,3.0,1.5,1060,9711,1.0,0,0,7,1060,0,1963
8,20150415T000000,229500,3.0,1.0,1780,7470,1.0,0,0,7,1050,730,1960
9,20150312T000000,323000,3.0,2.5,1890,6560,2.0,0,0,7,1890,0,2003
10,20150403T000000,662500,3.0,2.5,3560,9796,1.0,0,0,8,1860,1700,1965
11,20140527T000000,468000,2.0,1.0,1160,6000,1.0,0,0,7,860,300,1942
12,20140528T000000,310000,3.0,1.0,1430,19901,1.5,0,0,7,1430,0,1927
13,20141007T000000,400000,3.0,1.75,1370,9680,1.0,0,0,7,1370,0,1977
14,20150312T000000,530000,5.0,2.0,1810,4850,1.5,0,0,7,1810,0,1900
15,20150124T000000,650000,4.0,3.0,2950,5000,2.0,0,3,9,1980,970,1979
16,20140731T000000,395000,3.0,2.0,1890,14040,2.0,0,0,7,1890,0,1994
17,20140529T000000,485000,4.0,1.0,1600,4300,1.5,0,0,7,1600,0,1916
18,20141205T000000,189000,2.0,1.0,1200,9850,1.0,0,0,7,1200,0,1921
19,20150424T000000,230000,3.0,1.0,1250,9774,1.0,0,0,7,1250,0,1969
20,20140514T000000,385000,4.0,1.75,1620,4980,1.0,0,0,7,860,760,1947
21,20140826T000000,2000000,3.0,2.75,3050,44867,1.0,0,4,9,2330,720,1968
22,20140703T000000,285000,5.0,2.5,2270,6300,2.0,0,0,8,2270,0,1995
23,20140516T000000,252700,2.0,1.5,1070,9643,1.0,0,0,7,1070,0,1985
24,20141120T000000,329000,3.0,2.25,2450,6500,2.0,0,0,8,2450,0,1985
25,20141103T000000,233000,3.0,2.0,1710,4697,1.5,0,0,6,1710,0,1941
26,20140626T000000,937000,3.0,1.75,2450,2691,2.0,0,0,8,1750,700,1915
27,20141201T000000,667000,3.0,1.0,1400,1581,1.5,0,0,8,1400,0,1909
28,20140624T000000,438000,3.0,1.75,1520,6380,1.0,0,0,7,790,730,1948
29,20150302T000000,719000,4.0,2.5,2570,7173,2.0,0,0,8,2570,0,2005
30,20141110T000000,580500,3.0,2.5,2320,3980,2.0,0,0,8,2320,0,2003
31,20141201T000000,280000,2.0,1.5,1190,1265,3.0,0,0,7,1190,0,2005
32,20140624T000000,687500,4.0,1.75,2330,5000,1.5,0,0,7,1510,820,1929
33,20141110T000000,535000,3.0,1.0,1090,3000,1.5,0,0,8,1090,0,1929
34,20141203T000000,322500,4.0,2.75,2060,6659,1.0,0,0,7,1280,780,1981
35,20140613T000000,696000,3.0,2.5,2300,3060,1.5,0,0,8,1510,790,1930
36,20140528T000000,550000,4.0,1.0,1660,34848,1.0,0,0,5,930,730,1933
37,20141230T000000,640000,4.0,2.0,2360,6000,2.0,0,0,8,2360,0,1904
38,20150213T000000,240000,4.0,1.0,1220,8075,1.0,0,0,7,890,330,1969
39,20140620T000000,605000,4.0,2.5,2620,7553,2.0,0,0,8,2620,0,1996
40,20140715T000000,625000,4.0,2.5,2570,5520,2.0,0,0,9,2570,0,2000
41,20140811T000000,775000,4.0,2.25,4220,24186,1.0,0,0,8,2600,1620,1984
42,20140707T000000,861990,5.0,2.75,3595,5639,2.0,0,0,9,3595,0,2014
43,20141028T000000,685000,3.0,1.0,1570,2280,2.0,0,0,7,1570,0,1922
44,20140729T000000,309000,3.0,1.0,1280,9656,1.0,0,0,6,920,360,1959
45,20140718T000000,488000,3.0,2.5,3160,13603,2.0,0,0,8,3160,0,2003
46,20150325T000000,210490,3.0,1.0,990,8528,1.0,0,0,6,990,0,1966
47,20140716T000000,785000,4.0,2.5,2290,13416,2.0,0,0,9,2290,0,1981
48,20150428T000000,450000,3.0,1.75,1250,5963,1.0,0,0,7,1250,0,1953
49,20150311T000000,1350000,3.0,2.5,2753,65005,1.0,1,2,9,2165,588,1953
50,20140916T000000,228000,3.0,1.0,1190,9199,1.0,0,0,7,1190,0,1955
51,20150217T000000,345000,5.0,2.5,3150,9134,1.0,0,0,8,1640,1510,1966
52,20141231T000000,600000,3.0,1.75,1410,4080,1.0,0,0,7,1000,410,1950
53,20150205T000000,585000,2.0,1.75,1980,8550,1.0,0,0,7,990,990,1981
54,20150303T000000,920000,5.0,2.25,2730,6000,1.5,0,0,8,2130,600,1927
55,20140512T000000,885000,4.0,2.5,2830,5000,2.0,0,0,9,2830,0,1995
56,20140819T000000,292500,4.0,2.5,2250,4495,2.0,0,0,7,2250,0,2008
57,20150407T000000,301000,3.0,2.5,2420,4750,2.0,0,0,8,2420,0,2003
58,20140827T000000,951000,5.0,3.25,3250,14342,2.0,0,4,8,3250,0,1968
59,20150223T000000,430000,4.0,3.0,1850,9976,2.0,0,0,8,1850,0,1991
60,20141210T000000,650000,3.0,2.25,2150,21235,1.0,0,3,8,1590,560,1959
61,20140828T000000,289000,3.0,1.75,1260,8400,1.0,0,0,7,1260,0,1954
62,20141021T000000,505000,3.0,1.75,2519,8690,2.0,0,0,8,2519,0,1973
63,20141207T000000,549000,3.0,1.75,1540,1044,3.0,0,0,8,1540,0,2014
64,20140603T000000,425000,3.0,2.25,1660,6000,1.0,0,0,7,1110,550,1979
65,20141120T000000,317625,3.0,2.75,2770,3809,1.5,0,0,7,1770,1000,1925
66,20140909T000000,975000,4.0,2.5,2720,11049,2.0,0,0,10,2720,0,1989
67,20141009T000000,287000,4.0,2.5,2240,4648,2.0,0,0,7,2240,0,2005
68,20140825T000000,204000,3.0,1.0,1000,12070,1.0,0,0,7,1000,0,1968
69,20140612T000000,1325000,5.0,2.25,3200,20158,1.0,0,0,8,1600,1600,1965
70,20140912T000000,1040000,5.0,3.25,4770,50094,1.0,0,0,11,3070,1700,1973
71,20150105T000000,325000,3.0,2.0,1260,5612,1.0,0,0,7,1260,0,1972
72,20140610T000000,571000,4.0,2.0,2750,7807,1.5,0,0,7,2250,500,1916
73,20140710T000000,360000,4.0,2.5,2380,5000,2.0,0,0,8,2380,0,2005
74,20150316T000000,349000,3.0,1.75,1790,50529,1.0,0,0,7,1090,700,1965
75,20141105T000000,832500,4.0,4.0,3430,35102,2.0,0,0,10,2390,1040,1986
76,20141013T000000,380000,4.0,1.75,1760,7300,1.0,0,0,7,880,880,1956
77,20150420T000000,480000,3.0,1.0,1040,5060,1.0,0,0,7,1040,0,1941
78,20140609T000000,410000,3.0,1.0,1410,5060,1.0,0,0,7,910,500,1956
79,20150323T000000,720000,4.0,2.5,3450,39683,2.0,0,0,10,3450,0,2002
80,20141202T000000,390000,3.0,2.5,2350,5100,2.0,0,0,8,2350,0,2003
81,20141222T000000,360000,4.0,2.5,1900,5889,2.0,0,0,7,1900,0,1992
82,20141028T000000,355000,2.0,1.0,2020,6720,1.0,0,0,7,1010,1010,1948
83,20150128T000000,356000,3.0,1.5,1680,8712,1.0,0,0,8,1680,0,1964
84,20140602T000000,315000,3.0,1.0,960,6634,1.0,0,0,6,960,0,1952
85,20141114T000000,940000,3.0,1.5,2140,3600,2.0,0,0,9,1900,240,1925
86,20141103T000000,305000,5.0,2.25,2660,8400,1.5,0,0,7,2660,0,1961
87,20140618T000000,461000,3.0,3.25,2770,6278,2.0,0,0,9,1980,790,2006
88,20140519T000000,215000,2.0,2.25,1610,2040,2.0,0,0,7,1610,0,1979
89,20140904T000000,335000,2.0,1.75,1030,1066,2.0,0,0,7,765,265,2006
90,20140522T000000,243500,4.0,2.5,1980,7403,2.0,0,0,7,1980,0,1988
91,20150311T000000,1099880,5.0,2.75,3520,6353,2.0,0,0,10,3520,0,2001
92,20150226T000000,153000,3.0,1.0,1200,10500,1.0,0,0,7,1200,0,1962
93,20140725T000000,430000,3.0,1.5,1580,5000,1.0,0,0,8,1290,290,1939
94,20141223T000000,700000,3.0,1.5,1580,5000,1.0,0,0,8,1290,290,1939
95,20140908T000000,905000,4.0,2.5,3300,10250,1.0,0,0,7,2390,910,1946
96,20150330T000000,247500,3.0,1.75,1960,15681,1.0,0,0,7,1960,0,1967
97,20140912T000000,199000,4.0,1.5,1160,6400,1.0,0,0,7,1160,0,1975
98,20140711T000000,314000,3.0,1.75,1810,41800,1.0,0,0,7,1210,600,1980
99,20140516T000000,437500,3.0,2.5,2320,36847,2.0,0,2,9,2320,0,1992
100,20140611T000000,850830,3.0,2.5,2070,13241,1.5,0,0,9,1270,800,1910
101,20141027T000000,555000,3.0,2.0,1980,3478,1.5,0,0,7,1440,540,1929
102,20141212T000000,699950,3.0,2.25,2190,107593,2.0,0,0,8,2190,0,1983
103,20141007T000000,1088000,3.0,2.5,2920,8113,2.0,0,0,8,2920,0,1950
104,20140924T000000,290000,3.0,1.0,1210,33919,1.0,0,0,7,1210,0,1954
105,20150402T000000,375000,3.0,2.5,2340,10005,1.0,0,0,8,1460,880,1978
106,20140523T000000,460000,3.0,1.0,1670,4005,1.5,0,0,7,1170,500,1939
107,20140723T000000,188500,2.0,1.75,1240,2493,1.0,0,0,8,1240,0,1985
108,20150305T000000,680000,4.0,2.5,3140,28037,2.0,0,0,10,3140,0,1991
109,20140827T000000,470000,5.0,1.75,2030,12342,2.0,0,0,7,2030,0,1942
110,20140725T000000,597750,4.0,2.5,2310,9624,2.0,0,0,8,2310,0,1984
111,20150304T000000,570000,3.0,1.75,1260,3328,1.0,0,0,6,700,560,1905
112,20140916T000000,272500,3.0,1.75,1540,12600,1.0,0,0,7,1160,380,1980
113,20141124T000000,329950,3.0,1.75,2080,5969,1.0,0,2,7,1080,1000,1971
114,20141028T000000,480000,4.0,2.5,3230,16171,2.0,0,3,9,2520,710,2001
115,20141121T000000,740500,3.0,3.5,4380,6350,2.0,0,0,8,2780,1600,1900
116,20140626T000000,518500,3.0,3.5,1590,1102,3.0,0,0,8,1590,0,2010
117,20140623T000000,205425,2.0,1.0,880,6780,1.0,0,0,6,880,0,1945
118,20150108T000000,171800,4.0,2.0,1570,9600,1.0,0,0,6,1570,0,1950
119,20150511T000000,535000,4.0,1.0,1610,2982,1.5,0,0,7,1610,0,1925
120,20150102T000000,660000,3.0,2.5,2400,6474,1.0,0,2,8,1560,840,1964
121,20141119T000000,391500,3.0,2.0,1450,9132,1.0,0,0,7,1450,0,1987
122,20150406T000000,395000,2.0,1.0,770,6000,1.0,0,0,6,770,0,1953
123,20141104T000000,445000,4.0,1.75,2100,4400,1.5,0,0,7,1720,380,1924
124,20140618T000000,770000,3.0,2.25,2910,10204,2.0,0,0,9,2910,0,1990
125,20150302T000000,1450000,4.0,2.75,2750,17789,1.5,0,0,8,1980,770,1914
126,20140717T000000,445000,3.0,2.25,2100,8201,1.0,0,2,8,1620,480,1967
127,20140717T000000,260000,4.0,2.25,2160,8811,1.0,0,0,8,1360,800,1978
128,20140613T000000,822500,5.0,3.5,2320,4960,2.0,0,0,7,1720,600,1926
129,20150406T000000,430000,4.0,2.5,2070,4310,2.0,0,0,7,2070,0,2004
130,20150105T000000,212000,3.0,1.75,1060,7875,1.0,0,0,7,1060,0,1986
131,20150428T000000,660500,4.0,2.25,2010,9603,1.0,0,0,8,1440,570,1986
132,20140612T000000,784000,3.0,3.5,3950,111078,1.5,0,0,9,2460,1490,1989
133,20140512T000000,453246,3.0,2.5,2010,2287,2.0,0,0,8,1390,620,2014
134,20150126T000000,675000,4.0,3.5,2140,2278,3.0,0,0,9,2140,0,2005
135,20140813T000000,199000,3.0,1.75,1320,17390,1.0,0,0,7,1320,0,1956
136,20140805T000000,220000,4.0,1.75,2020,7840,1.0,0,0,7,1010,1010,1968
137,20140529T000000,452000,4.0,2.25,2590,10002,1.0,0,0,8,1340,1250,1968
138,20140707T000000,382500,2.0,1.0,1190,4440,1.0,0,0,6,1190,0,1981
139,20140507T000000,519950,3.0,2.25,1170,1249,3.0,0,0,8,1170,0,2014
